step,loss,aux_loss,util_pct,lr,tokens_sec
1,39.529457092285156,4.215776443481445,100.0,0.0002997336083378166,342.90590959102957
2,34.16864776611328,4.388887405395508,100.0,0.0002989354846774545,619.7352330554465
3,28.78753662109375,4.571855545043945,100.0,0.00029760877884837294,846.7345057489565
4,32.92423629760742,4.341083526611328,100.0,0.0002957587267523651,1036.0142110220988
5,36.23990249633789,4.330192565917969,100.0,0.0002933926296998457,1198.8198500569154
6,26.09111213684082,4.663291931152344,100.0,0.000290519825594914,1339.0370201541036
7,31.831138610839844,4.411170959472656,100.0,0.00028715165208291276,1460.560035343277
8,40.51765441894531,4.104148864746094,100.0,0.00028330140180592167,1565.0590133107119
9,37.90889358520508,4.217140197753906,100.0,0.00027898426994277215,1655.703824619231
10,40.27455139160156,4.146928787231445,100.0,0.0002742172942406181,1738.0035354416216
20,27.286487579345703,4.426881790161133,100.0,0.00020671729424061807,2248.0034892486583
30,41.21272277832031,4.125120162963867,100.0,0.0001232827057593822,2474.2090243038942
40,27.2734375,4.2964630126953125,100.0,5.578270575938213e-05,2607.3072691986804
50,43.91310119628906,4.110134124755859,100.0,2.9999999999999997e-05,2698.8791516220554
